Prompt,Source,Source Sub-category ,Year,Maturity,Tag,Description,,Transcript
How might we apply AI to promote environmental sustainability and combat climate change?,CAS,Discovery: GeoEngineering,,Execution,,"AI can be a powerful tool in the fight against climate change and the promotion of environmental sustainability. Machine learning algorithms can analyze satellite imagery and sensor data to monitor deforestation, track wildlife populations, and detect changes in land use patterns. AI can also optimize renewable energy systems by predicting energy demand, optimizing power generation and distribution, and improving the efficiency of energy storage technologies. In agriculture, AI-powered precision farming techniques can help reduce water and pesticide use while maximizing crop yields. By providing insights and optimizations across various sectors, AI can support more sustainable and environmentally friendly practices on a global scale.",,
Clean Slate US Cities: Can rural areas that currently produce vast amounts of energy become population centers/magenets that utilize locally sourced energy and incentivize net zero CO2 emissions (and air pollutants) and provide products and services for people who move to energy rich regions,CAS,Discovery: GeoEngineering,,Low,,,,
How might conductivity research improve access to power for public consumers via alleviating utility costs?,CAS,Discovery: GeoEngineering,,Low,,,,
How will the impact to current power suppliers be managed (change management) so as to minimize negatives and streamline adoption to new state?,CAS,Discovery: GeoEngineering,,Low,,,,
"Could this result in new architectural designs for power grids (more scalable, more resilient etc.) regardless of power source?",CAS,Discovery: GeoEngineering,,Low,,,,
BEAM - Wireless Beamed Energy for Advance Air Mobility,CAS,Discovery: GeoEngineering,,High,,"• Build, test, and characterize a prototype 'power- beaming' system intended for aerial wireless power transfer, collection, conversion, and storage of 10 GHz RF to DC energy within the vertiport and Advanced Air Mobility (AAM) airspace.
• Evaluate detrimental impacts, potential benefit to the aircraft system, and functionality.
Does beamed energy impact other systems or
people in a detrimental way (human exposure,
reflected RF interference...)
Is the system scalable and does it provide a net
benefit (cost, operations, safety...)
Can GHz energy be converted efficiently and at
a high enough power to offset on-aircraft energy storage requirements?",,
AENode - Airports as Energy Nodes,CAS,Discovery: GeoEngineering,,Medium,,"• Determine how airports can prepare for the future aviation and community energy needs that are
Land area available at thousands of airports for renewable energy harvesting, storage, and/or conversion
Little increase in power distribution infrastructure despite large increase in airport electric power use
Less total energy needed, greatly reduced local emissions
highly uncertain in both timing and energy mix 
• Energy system must be able to provide energy to future aviation users (of which the energy mix is unknown) and local community (whose energy needs and types are evolving)
• Energy must be provided to users at affordable cost to enable adoption with low emissions to reduce environmental impact locally and globally
• Airport energy system upgrade path must be in place at critical locations prior to aviation users arriving, resulting in long payback periods with little/no return
• Airport energy harvesting and distribution must comply with uncertain future regulatory framework
• Airport upgrade path must remain viable with uncertainty in number of aircraft served, preferred energy product, and timing, while also navigating regulatory uncertainty and maintaining positive community impact",,
SABERS - Solid-state Architecture Batteries for Enhanced Rechargeability and Safety,CAS,Discovery: GeoEngineering,,Super High,,"Develop a solid-state bipolar battery stack based on novel Li-S/Se chemistry and a non- flammable solid state electrolyte (SSE) to produce a battery which satisfies the system level needs of urban air mobility (UAM) concepts including: safety (non flammable), energy density, discharge rate, packaging design, and scalability.",,
SPARRCI - Sensor-based Prognostics to Avoid Runaway Reactions & Catastrophic Ignition,CAS,Discovery: GeoEngineering,,Super High,,"Improve safety of existing batteries + accelerate adoption of next- generation batteries
Battery Failure Analysis
• Off-nominal material morphology studies
• In-situ imaging for fault precursor
• Post-cycling analysis to correlate sensor/NDE results
Sensor Development
• Embedded miniature sensors for real-time state-of-health monitoring within cells
• Multifunctional parameter measurements
Nondestructive Evaluation
• In-situ and off-line monitoring techniques
• Battery health data without damage
• Advanced modeling & analysis
Fault Algorithms & Machine Learning
• Multiphysics modeling for off-nominal operation
• Fault algorithm + failure prognostics
• “Smart” battery management
• Advanced state-of-health and hazard detection
 •Actionable warnings during off-nominal events to prevent catastrophic
failures
•Improved aircraft performance & enhanced reliability
",,
SUSAN - Subsonic (Electrified) Single Aft Engine,CAS,Discovery: GeoEngineering,,Super High,,"The  SUSAN Electrofan Aircraft is a subsonic regional jet transport aircraft concept which utilizes Electrified Aircraft Propulsion (EAP) to enable propulsive and aerodynamic benefits to reduce fuel usage, emissions, and cost.  
Transformative concept: single engine transport aircraft.  Five decades later we still have not achieved single engine transport
The target market is the regional low cost carrier airline with mission specification: 180 passenger, design range of 2500 miles, economic range of 750 miles, speed of Mach 0.78.
Additionally develop the capability to accelerate ground and flight demonstration through workforce development and Small Business Innovation Research",,
How might we harvest energy and shield against radiation with melanin?,CAS,Wicked Wild,,Medium,,"Commercial aircraft use about 100 MW of electricity. All that electricity must be generated by the aircraft. This require converting fuel to electricity that results in a reduction of aircraft efficiency. If some portion of that energy could be harvested without the expenditure of fuel that would increase aircraft efficiency. Aircraft operate at high altitudes where UV radiation and cosmic radiation levels are much greater than at ground level. This radiation represents a source of energy that remains unharvested. This free energy could be used to increase the energy efficiency of aircraft while reducing passenger exposure to harmful radiationMelanin is known mostly as a pigment but is a multifunctional material that accels at adsorbing UV and cosmic radiation that make it ideal for energy harvesting applications.  Melanin panels could harvest energy to supplement power. ""Wicked-Wild"" Idea:Investigate the ability of natural and synthetic melanin’s to adsorb energy and produce electricity  for aerospace applications.",,"bioinspired melanin based energy harvesting pitch. The basic premise behind this proposal is that commercial aircraft are huge consumers of electricity and every single water that electricity has to be generated by the aircraft itself.
And we know that, you know, whenever we take something like jet fuel and convert it to some other form of energy, like electricity, it's not perfect. There it's, you know, there are losses involved and that comes at the expense of efficiency to the aircraft.
So is there, you know, some way where we could possibly augment or supplement the energy that is around the aircraft and possibly generate some electricity to help these aircraft become more fuel efficient? Now, one of the things is is that because commercial aircraft, you know, they typically fly at very high altitudes and in clear Sky early because they're they're up above the clouds.
The UV radiation at altitude is about 100% greater than what we experience here at ground level.
And cosmic radiation is continuously bombarding earth with about 1 giga electron volts or with energies of about 1 gig electron volts at the rate of about 10,000 per square meter every 2nd. And this happens day and night. So even aircraft flying night time routes or even in cloud clouds, you know, and it's not reliant strictly on on solar energy, but in cosmic energy is is Sir no. So if some portion of that energy, which right now just hits an aircraft and and goes unused, it some part of that could be harvested and converted into electrical energy that could be put back into the aircraft, that would help aircraft. Ohh efficiency. And so you know, how could that be accomplished? Well, you know, the whole idea of energy harvesting isn't new. You know, we have plenty of examples of that currently on Earth, you know, from hydroelectric dams, wind farm, solar farms. All of those take existing energy and harvest it and convert it into electrical energy. One of the things that is our our materials that has been under the radar but is extremely common is melanin. 
Melanin is simply known, or or mostly known, just as a dark brown or a black pigment, and you know helps give us our skin color and and protect us from sunburn. However, that's not really doing melon and much justice. It really is a biopolymer that is amazingly multifunctional. Uh, and it's a macromolecular material, which is a mouthful to say that excels at transforming uh energy, particularly energy from the electromagnetic spectrum, from an A broad portion of that, all the way from like, near infrared to real short wavelength energy like UV and cosmic energy into electricity. Well and and it and it does it through a two stage process. First, it converts it uh into heat, which is exactly why when we go out into the sunlight and and sunlight feels warm, the melanin in our skin is immediately absorbing that energy, converting it to heat, and then it eventually converts it to electricity. So the idea of this is that melanin it's ideally suited for energy harvesting applications, so if we could, you know, and as I show in a in the PowerPoint here, you know if we could coat the top surface or or part of a fuselage with basically melanin based energy harvesting panels and and convert that energy that impacts on those surfaces kind of like a solar cell for an airplane or a type of thing, then it could go into the electrical system of the aircraft and basically you know we know that you know in commercial aircraft you.
Know cost of operation and efficiency you know is is tremendous and so. You know the operators of commercial aircraft are looking for, you know, even fractional increases in efficiency. Uh to help generate and and maintain profitability as. So the wicket idea is to basically investigate a proof of concept melanin based energy absorber to produce electricity. The beauty of this concept is it's simplicity in which this can idea can be investigated. At this low TRL level, synthetic and organic melanin are commercially available through readily available sources. You could coat a substrate with a thin film of melanin and expose it to UV light, and then monitor that sample for the generation of electrical signal. Demonstrating some basic proof of concept that would set the stage for more formal research and development of melon and based energy absorbers for aeronautic applications."
